id;name;path;url;createdOn;environmentsCount;environments;;;;;;;;;;;;;;;;;;;
2;OMS-Inventario-TransmitirCodigos-K8s;\OMS\Visivilidad del Inventario;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/2;2023-01-20T18:42:16.953Z;3;Desarrollo/Tester/Producción;;;;;;;;;;;;;;;;;;;
5;Oms-items-K8s-CD;\OMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/5;2023-01-25T23:13:11.627Z;4;Desarrollo/Tester/Producción/SCM Inspection;;;;;;;;;;;;;;;;;;;
7;Oms-configinventory-K8s-CD;\OMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/7;2023-02-08T19:33:09.547Z;4;Develop/QA/Producción/SCM Inspection;;;;;;;;;;;;;;;;;;;
15;OBImpFolSalidaTallerAlArea -CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/15;2023-03-15T22:32:52.427Z;35;Desarrollo/Tester/Control-Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla I/10-Villahermosa/11-Iztapalapa/12-Mexicali Imp./13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Los Mochis/19-Veracruz/20-Guadalajara II/21-Tecamac Imp./22-Toluca/23-Guadalupe/24-Texcoco/25-Tijuana/30-Tecamac II/31-Puebla II/81-La Paz/82-Nogales/83-Tapachula/84-Cancun/85-Nvo. Laredo/86-Cd. Juarez;;;;;;;;;;;;;;;;;;;
24;BmImprimeControlServiciosChofer-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/24;2023-03-27T20:06:39.577Z;35;Desarrollo/Tester/Control-Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla I/10-Villahermosa/11-Iztapalapa/12-Mexicali Imp./13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Los Mochis/19-Veracruz/20-Guadalajara II/21-Tecamac Imp./22-Toluca/23-Guadalupe/24-Texcoco/25-Tijuana/30-Tecamac II/31-Puebla II/81-La Paz/82-Nogales/83-Tapachula/84-Cancun/85-Nvo. Laredo/86-Cd. Juarez;;;;;;;;;;;;;;;;;;;
29;BmServiciosNoRealizados-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/29;2023-03-27T23:09:58.217Z;35;Desarrollo/Tester/Control-Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla I/10-Villahermosa/11-Iztapalapa/12-Mexicali Imp./13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Los Mochis/19-Veracruz/20-Guadalajara II/21-Tecamac Imp./22-Toluca/23-Guadalupe/24-Texcoco/25-Tijuana/30-Tecamac II/31-Puebla II/81-La Paz/82-Nogales/83-Tapachula/84-Cancun/85-Nvo. Laredo/86-Cd. Juarez;;;;;;;;;;;;;;;;;;;
30;ObBitacoraSalidas-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/30;2023-03-27T23:12:33.1Z;35;Desarrollo/Tester/Control-Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla I/10-Villahermosa/11-Iztapalapa/12-Mexicali Imp./13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Los Mochis/19-Veracruz/20-Guadalajara II/21-Tecamac Imp./22-Toluca/23-Guadalupe/24-Texcoco/25-Tijuana/30-Tecamac II/31-Puebla II/81-La Paz/82-Nogales/83-Tapachula/84-Cancun/85-Nvo. Laredo/86-Cd. Juarez;;;;;;;;;;;;;;;;;;;
31;ObImprimeCfdiTraslado-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/31;2023-03-27T23:14:12.95Z;35;Desarrollo/Tester/Control-Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla I/10-Villahermosa/11-Iztapalapa/12-Mexicali Imp./13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Los Mochis/19-Veracruz/20-Guadalajara II/21-Tecamac Imp./22-Toluca/23-Guadalupe/24-Texcoco/25-Tijuana/30-Tecamac II/31-Puebla II/81-La Paz/82-Nogales/83-Tapachula/84-Cancun/85-Nvo. Laredo/86-Cd. Juarez;;;;;;;;;;;;;;;;;;;
32;SbGeneracionControlesChofer-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/32;2023-03-27T23:15:59.03Z;35;Desarrollo/Tester/Control-Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla I/10-Villahermosa/11-Iztapalapa/12-Mexicali Imp./13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Los Mochis/19-Veracruz/20-Guadalajara II/21-Tecamac Imp./22-Toluca/23-Guadalupe/24-Texcoco/25-Tijuana/30-Tecamac II/31-Puebla II/81-La Paz/82-Nogales/83-Tapachula/84-Cancun/85-Nvo. Laredo/86-Cd. Juarez;;;;;;;;;;;;;;;;;;;
35;ims-cap-iwm-resguardomercancia-K8s-CD;\TMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/35;2023-03-28T00:39:18.97Z;4;Desarrollo/Tester/Producción/SCM Inspection;;;;;;;;;;;;;;;;;;;
